Date;User;Rating;Usage;Review
13 Aug 2020;Abu Baba;3.7; Daily Commute | Tours ;My diesel powered swift 2013 is probably the best hatchback car I have ever owned. The reason I say so is because even after driving it for more than 170000 kms, the car still feels fun to drive. Moreover it is an economic option with less service costs and average fuel economy I get of about 21 kmpl. Moreover Maruti's great after sales service experience, the quality of service/repairs offered an d vast network of service centers really helps. The only time I had to spend some money was in the events of tires and battery replacements. Although there are no high end features to brag about this car, the feature list is simply practical and just enough for a good driving experience. In my view, the only features this car must offer more is wider tires and cruise control. Also, Maruti should offer BS 6 diesel engines in new cars and if this happens, I think swift will be an even more fun to drive car.
5 Jun 2020;Paras Raizada;4.0; Daily Commute;I have clocked 260K KM's in last 10 years with 1.3L Petrol Engine. Just 1 clutch plate change @ 120K KM with tyre change @ every 80K KM's. Only 1 time front and back suspension change and other minor mechanical wear and tear changes. I cannot be happier than this that even after 10 years of life cycle, 260K KM's, its going strong and I believe will be able to clock anywhere around 400K Km's by nex t 2-3 years.I'm addicted to this car and unable to change to new one just because of sheer driving pleasure and ultra low cost maintenance.This car is just amazing......
16 Apr 2020;Shriniket Punde;3.3; Daily Commute | Family Car | Tours ;The first gen swift is considered as one of the most fun to drive hatchbacks in India . My swift , dispite being a diesel, is no exception . It handles great, has a punchy mid range and decent braking too. The things which it misses-out on are most of the creature comforts which are found even in much cheaper car today. My Swift is a 2011 model year and still, the feature list dates back to the 90 's.I still love the car as it has a soul, a happy and energetic nature which is hard to find in cars now-a-days !
29 Sep 2019;Kowshick N;4.7; Daily Commute ;The swift is an most conveniante an best handling car for the beginers.. It offers more features like push button start, automatic climate control, touchscreen infotainment system and also provides an fun to drive experience to its owners, the millege is phenomenal in this segment I think bcoz it offers 24km millege in highway. Overall it satisfies the all things for beginners. And safety features also implemented in this car ex...ABS, EBD, airbags such I preety excited about this factors of my swift
10 May 2020;Samskrithy;3.3; Family Car ;1. Its a family vehicle. good for city drives. comfy till an extend for a long trips... have traveled a maximum of 9000 km in a strech. 2. the best thing is that it is easy to maintain.. the maintenance cost is low.. everything stays within the budget.3. the negative side is the lag.. seats and the steering wheel.4. mileage is good....pickup for that segment is easy-to-go.....build quality is baad ..... no vibrations till 110-120 kmph.... features are also okay.5. after sale value is high...
20 Jan 2021;Venkateshwar..;3.3; Daily Commute | Family Car ;Was a particularly good purchase for its time and did enjoy the comfort for the initial 4 years.Predictability of the vehicle safety and reliability took a big hit by around the 8th year of the ownership, When the thermal sensor broke and spilled the coolant into the engine.The sheer absence of good diagnostic toolkit and a not so commendable service by msm even after 9 years of consistent track r ecord with them, Leaves much to be desired from maruthi :(.
28 Oct 2019;Gourav Rathore;2.0; Occasional Commute | Tours;Not comfortable and not spacious for back seat passengers. I drive only for weekend trips or long trips on highway feel low power or on hills face alot of problem with it compare to my friends Hyundai grand i10 his car performs well and also looks small in size but spacious and have all features like stearing mounted controls and abs all disc brakes and engine performance like pickup and average a lso so good compare to my swift in all way worth it car.
9 Nov 2020;Deepu Pato;3.3; Family Car ;The overall car design and the rigidity are awesome but the problem arises with the safety where the maruti suzuki has not even given the rear parking sensors.The car is not so spacious and the maintenance cost is also so high as compared to the features and all if you ask me to buy this car or not then i will prefer you not to bu this because the car is not at all safe, And spacious.But if you wa nt a car which have a good mileage and a good design.
24 May 2020;Anand Purush..;3.7; Daily Commute | Family Car | Tours;i am using swift VDI from 2012. I feel the car performance , maintenance and driving is good . I enjoy driving being in driver seat . cons > - i feel only four adults can accommodate in that car.- ingress /egress in the back seat is horrible; elders will never like it .- Air con is bad; it is just adequate for the front row .. during the peak summer you feel it is not at all sufficient .. - driver seat is not fully ergonomics for people above 5.2
29 Aug 2020;Sohel Khan;5.0; Daily Commute;Good evening We just received this and only have one available with many requests If you would like to purchase this I can email you the forms to do soIt’s price is $380,000.00-USDTwo year Warranty Plus shipping and TaxesWe do ship worldwide if needed to most areas Look forward to assist you further Thank youCraigSend me your email address and I’ll email you the paperwork needed to place your order
